Product_Code,Week,Sales
P1,W0,11.0
P4,W0,12.0
P9,W0,14.0
P10,W0,22.0
P11,W0,15.0
P13,W0,12.0
P14,W0,14.0
P15,W0,19.0
P16,W0,30.0
P17,W0,49.0
P18,W0,40.0
P19,W0,26.0
P20,W0,13.0
P21,W0,12.0
P24,W0,36.0
P25,W0,26.0
P26,W0,14.0
P27,W0,44.0
P28,W0,34.0
P29,W0,13.0
P30,W0,46.0
P32,W0,15.0
P33,W0,15.0
P34,W0,47.0
P35,W0,34.0
P36,W0,41.0
P37,W0,36.0
P38,W0,37.0
P39,W0,31.0
P40,W0,41.0
P41,W0,35.0
P42,W0,42.0
P43,W0,28.0
P44,W0,34.0
P45,W0,40.0
P46,W0,27.0
P47,W0,40.0
P48,W0,29.0
P49,W0,37.0
P50,W0,12.0
P51,W0,19.0
P52,W0,40.0
P54,W0,41.0
P55,W0,34.0
P56,W0,31.0
P57,W0,38.0
P58,W0,32.0
P60,W0,37.0
P61,W0,25.0
P62,W0,12.0
P63,W0,37.0
P64,W0,34.0
P65,W0,14.0
P66,W0,35.0
P67,W0,36.0
P68,W0,14.0
P69,W0,26.0
P70,W0,31.0
P72,W0,26.0
P73,W0,35.0
P75,W0,34.0
P76,W0,27.0
P78,W0,39.0
P79,W0,37.0
P80,W0,38.0
P81,W0,14.0
P83,W0,46.0
P84,W0,29.0
P85,W0,39.0
P86,W0,37.0
P87,W0,30.0
P88,W0,41.0
P89,W0,24.0
P90,W0,42.0
P92,W0,26.0
P93,W0,11.0
P94,W0,14.0
P95,W0,12.0
P96,W0,31.0
P97,W0,29.0
P99,W0,16.0
P100,W0,13.0
P101,W0,26.0
P102,W0,34.0
P106,W0,11.0
P107,W0,19.0
P112,W0,31.0
P113,W0,22.0
P116,W0,13.0
P118,W0,16.0
P119,W0,30.0
P120,W0,37.0
P128,W0,36.0
P129,W0,21.0
P130,W0,19.0
P131,W0,29.0
P132,W0,39.0
P133,W0,30.0
P134,W0,32.0
P135,W0,38.0
P136,W0,39.0
P137,W0,37.0
P138,W0,36.0
P139,W0,32.0
P140,W0,28.0
P141,W0,27.0
P142,W0,23.0
P143,W0,31.0
P149,W0,11.0
P152,W0,11.0
P153,W0,22.0
P154,W0,12.0
P157,W0,12.0
P162,W0,13.0
P167,W0,33.0
P168,W0,34.0
P169,W0,38.0
P170,W0,29.0
P172,W0,32.0
P173,W0,34.0
P174,W0,37.0
P175,W0,30.0
P176,W0,38.0
P177,W0,25.0
P178,W0,35.0
P179,W0,44.0
P180,W0,40.0
P181,W0,32.0
P182,W0,42.0
P183,W0,25.0
P184,W0,30.0
P185,W0,32.0
P186,W0,36.0
P187,W0,31.0
P188,W0,33.0
P189,W0,32.0
P190,W0,54.0
P191,W0,48.0
P192,W0,24.0
P193,W0,36.0
P194,W0,35.0
P196,W0,43.0
P200,W0,18.0
P205,W0,11.0
P208,W0,30.0
P209,W0,12.0
P210,W0,16.0
P211,W0,15.0
P261,W0,20.0
P262,W0,25.0
P263,W0,18.0
P268,W0,18.0
P270,W0,26.0
P284,W0,26.0
P285,W0,11.0
P286,W0,17.0
P324,W0,11.0
P334,W0,11.0
P398,W0,14.0
P399,W0,17.0
P400,W0,20.0
P403,W0,12.0
P404,W0,11.0
P405,W0,23.0
P407,W0,22.0
P409,W0,42.0
P411,W0,16.0
P429,W0,16.0
P430,W0,13.0
P435,W0,21.0
P436,W0,14.0
P485,W0,15.0
P486,W0,16.0
P491,W0,19.0
P495,W0,16.0
P499,W0,11.0
P502,W0,11.0
P503,W0,13.0
P505,W0,23.0
P506,W0,23.0
P507,W0,11.0
P511,W0,25.0
P512,W0,17.0
P513,W0,22.0
P516,W0,24.0
P517,W0,15.0
P518,W0,15.0
P519,W0,30.0
P522,W0,12.0
P524,W0,14.0
P525,W0,15.0
P529,W0,13.0
P530,W0,20.0
P532,W0,15.0
P533,W0,28.0
P535,W0,15.0
P536,W0,14.0
P537,W0,20.0
P540,W0,23.0
P541,W0,11.0
P542,W0,12.0
P544,W0,15.0
P545,W0,13.0
P548,W0,32.0
P549,W0,35.0
P550,W0,11.0
P552,W0,15.0
P554,W0,24.0
P556,W0,15.0
P557,W0,28.0
P558,W0,15.0
P559,W0,11.0
P564,W0,13.0
P566,W0,24.0
P612,W0,14.0
P613,W0,18.0
P615,W0,17.0
P617,W0,36.0
P618,W0,40.0
P619,W0,38.0
P620,W0,31.0
P621,W0,31.0
P622,W0,29.0
P623,W0,38.0
P625,W0,11.0
P627,W0,12.0
P630,W0,11.0
P632,W0,13.0
P635,W0,14.0
P638,W0,15.0
P640,W0,14.0
P783,W0,15.0
P1,W1,12.0
P3,W1,11.0
P10,W1,19.0
P14,W1,12.0
P15,W1,45.0
P16,W1,27.0
P17,W1,40.0
P18,W1,38.0
P19,W1,31.0
P20,W1,17.0
P22,W1,14.0
P24,W1,42.0
P25,W1,28.0
P26,W1,14.0
P27,W1,34.0
P28,W1,32.0
P30,W1,36.0
P31,W1,17.0
P32,W1,13.0
P33,W1,12.0
P34,W1,42.0
P35,W1,37.0
P36,W1,32.0
P37,W1,39.0
P38,W1,36.0
P39,W1,21.0
P40,W1,27.0
P41,W1,27.0
P42,W1,27.0
P43,W1,43.0
P44,W1,27.0
P45,W1,29.0
P46,W1,46.0
P47,W1,42.0
P48,W1,51.0
P49,W1,28.0
P51,W1,14.0
P52,W1,44.0
P54,W1,42.0
P55,W1,30.0
P56,W1,28.0
P57,W1,26.0
P58,W1,34.0
P59,W1,13.0
P60,W1,41.0
P61,W1,30.0
P62,W1,27.0
P63,W1,39.0
P64,W1,37.0
P66,W1,41.0
P67,W1,30.0
P68,W1,11.0
P69,W1,43.0
P70,W1,39.0
P71,W1,11.0
P72,W1,34.0
P73,W1,30.0
P75,W1,45.0
P76,W1,34.0
P78,W1,40.0
P79,W1,34.0
P80,W1,29.0
P82,W1,12.0
P83,W1,40.0
P84,W1,26.0
P85,W1,34.0
P86,W1,33.0
P87,W1,38.0
P88,W1,28.0
P89,W1,26.0
P90,W1,34.0
P91,W1,11.0
P92,W1,36.0
P95,W1,15.0
P96,W1,35.0
P97,W1,37.0
P99,W1,11.0
P101,W1,51.0
P102,W1,41.0
P107,W1,19.0
P110,W1,12.0
P112,W1,36.0
P113,W1,26.0
P118,W1,13.0
P119,W1,40.0
P120,W1,35.0
P128,W1,43.0
P129,W1,36.0
P130,W1,53.0
P131,W1,32.0
P132,W1,36.0
P133,W1,48.0
P134,W1,41.0
P135,W1,32.0
P136,W1,37.0
P137,W1,41.0
P138,W1,44.0
P139,W1,36.0
P140,W1,36.0
P141,W1,45.0
P142,W1,29.0
P143,W1,35.0
P144,W1,13.0
P145,W1,12.0
P146,W1,13.0
P154,W1,14.0
P165,W1,13.0
P167,W1,45.0
P168,W1,29.0
P169,W1,31.0
P170,W1,37.0
P172,W1,48.0
P173,W1,25.0
P174,W1,42.0
P175,W1,40.0
P176,W1,44.0
P177,W1,38.0
P178,W1,34.0
P179,W1,43.0
P180,W1,38.0
P181,W1,44.0
P182,W1,28.0
P183,W1,37.0
P184,W1,37.0
P185,W1,28.0
P186,W1,34.0
P187,W1,38.0
P188,W1,34.0
P189,W1,34.0
P190,W1,41.0
P191,W1,36.0
P192,W1,33.0
P193,W1,22.0
P194,W1,37.0
P196,W1,34.0
P198,W1,19.0
P200,W1,14.0
P208,W1,26.0
P210,W1,12.0
P211,W1,12.0
P261,W1,36.0
P262,W1,31.0
P263,W1,12.0
P264,W1,16.0
P267,W1,14.0
P268,W1,18.0
P269,W1,11.0
P270,W1,16.0
P284,W1,17.0
P285,W1,12.0
P286,W1,19.0
P294,W1,13.0
P314,W1,17.0
P324,W1,11.0
P326,W1,11.0
P332,W1,14.0
P334,W1,13.0
P364,W1,18.0
P398,W1,12.0
P399,W1,11.0
P400,W1,11.0
P405,W1,12.0
P406,W1,12.0
P407,W1,23.0
P409,W1,48.0
P410,W1,13.0
P411,W1,17.0
P435,W1,16.0
P486,W1,30.0
P488,W1,11.0
P491,W1,20.0
P492,W1,14.0
P494,W1,13.0
P495,W1,15.0
P499,W1,13.0
P502,W1,15.0
P503,W1,19.0
P504,W1,13.0
P506,W1,16.0
P507,W1,27.0
P511,W1,23.0
P512,W1,17.0
P513,W1,23.0
P514,W1,14.0
P515,W1,15.0
P516,W1,18.0
P517,W1,15.0
P519,W1,26.0
P520,W1,12.0
P521,W1,14.0
P522,W1,15.0
P523,W1,14.0
P525,W1,12.0
P526,W1,13.0
P527,W1,18.0
P529,W1,17.0
P530,W1,11.0
P533,W1,33.0
P535,W1,26.0
P537,W1,16.0
P540,W1,19.0
P541,W1,17.0
P542,W1,14.0
P545,W1,13.0
P546,W1,14.0
P548,W1,28.0
P549,W1,29.0
P554,W1,15.0
P555,W1,16.0
P556,W1,11.0
P557,W1,23.0
P559,W1,13.0
P563,W1,19.0
P566,W1,26.0
P612,W1,11.0
P613,W1,26.0
P615,W1,16.0
P617,W1,33.0
P618,W1,35.0
P619,W1,31.0
P620,W1,27.0
P621,W1,33.0
P622,W1,33.0
P623,W1,27.0
P627,W1,11.0
P630,W1,11.0
P632,W1,11.0
P636,W1,15.0
P640,W1,20.0
P781,W1,13.0
P783,W1,12.0
P4,W2,13.0
P5,W2,13.0
P10,W2,19.0
P11,W2,15.0
P15,W2,47.0
P16,W2,27.0
P17,W2,40.0
P18,W2,39.0
P19,W2,45.0
P20,W2,11.0
P24,W2,27.0
P25,W2,33.0
P27,W2,33.0
P28,W2,36.0
P29,W2,12.0
P30,W2,45.0
P33,W2,11.0
P34,W2,24.0
P35,W2,26.0
P36,W2,39.0
P37,W2,43.0
P38,W2,43.0
P39,W2,28.0
P40,W2,27.0
P41,W2,26.0
P42,W2,40.0
P43,W2,40.0
P44,W2,28.0
P45,W2,39.0
P46,W2,31.0
P47,W2,27.0
P48,W2,40.0
P49,W2,42.0
P50,W2,15.0
P51,W2,17.0
P52,W2,37.0
P54,W2,37.0
P55,W2,42.0
P56,W2,41.0
P57,W2,37.0
P58,W2,38.0
P60,W2,46.0
P61,W2,32.0
P62,W2,18.0
P63,W2,54.0
P64,W2,29.0
P66,W2,45.0
P67,W2,38.0
P69,W2,46.0
P70,W2,50.0
P72,W2,39.0
P73,W2,36.0
P75,W2,37.0
P76,W2,43.0
P78,W2,31.0
P79,W2,45.0
P80,W2,32.0
P81,W2,13.0
P82,W2,17.0
P83,W2,34.0
P84,W2,31.0
P85,W2,28.0
P86,W2,33.0
P87,W2,35.0
P88,W2,32.0
P89,W2,44.0
P90,W2,40.0
P92,W2,56.0
P95,W2,15.0
P96,W2,36.0
P97,W2,36.0
P101,W2,45.0
P102,W2,22.0
P106,W2,11.0
P107,W2,15.0
P110,W2,12.0
P112,W2,32.0
P113,W2,31.0
P115,W2,12.0
P119,W2,46.0
P120,W2,27.0
P128,W2,28.0
P129,W2,44.0
P130,W2,43.0
P131,W2,32.0
P132,W2,45.0
P133,W2,29.0
P134,W2,50.0
P135,W2,36.0
P136,W2,39.0
P137,W2,43.0
P138,W2,22.0
P139,W2,32.0
P140,W2,41.0
P141,W2,40.0
P142,W2,40.0
P143,W2,29.0
P144,W2,17.0
P153,W2,11.0
P154,W2,11.0
P157,W2,14.0
P162,W2,12.0
P167,W2,42.0
P168,W2,34.0
